wojewodztwo,powiat,nazwa_placowki,typ_placowki,publiczna_niepubliczna,adres,kod_pocztowy,miejscowosc,telefon,email,liczba_miejsc,dyrektor,organ_prowadzacy,zrodlo_danych,data_stanu
dolnoslaskie,bolesławiecki,Dom Dziecka p.w. Św. Józefa Zgromadzenia Sióstr Św. Elżbiety w Bolesławcu,socjalizacyjna,niepubliczna,Kubika 4,59-700,Bolesławiec,75 732 22 64,dom_dziecka9@wp.pl,14,s. Agnieszka Wieczorek,Zgromadzenie Sióstr św. Elżbiety Prowincja Wrocławska,REJESTR_POW_31_12_2024.xls,2024-12-31
dolnoslaskie,bolesławiecki,Dom Dziecka p.w. Św. Elżbiety Zgromadzenia Sióstr Świętej Elżbiety w Bolesławcu,rodzinna,niepubliczna,Kubika 4a,59-700,Bolesławiec,76 732 22 64,dom_dziecka9@wp.pl,8,s. Agnieszka Wieczorek,Zgromadzenie Sióstr św. Elżbiety Prowincja Wrocławska,REJESTR_POW_31_12_2024.xls,2024-12-31
dolnoslaskie,dzierżoniowski,Powiatowe Centrum Opieki i Wychowania w Pieszycach Dom Dziecka Nr 1,socjalizacyjna,publiczna,Ogrodowa 81/1,58-250,Pieszyce,74 83 65 223,i.bugaj@wp.pl,14,Ilona Bugaj,Powiat Dzierżoniowski,REJESTR_POW_31_12_2024.xls,2024-12-31
dolnoslaskie,dzierżoniowski,Powiatowe Centrum Opieki i Wychowania w Pieszycach Dom Dziecka Nr 2,socjalizacyjna,publiczna,Sienkiewicza 80,58-240,Piława Górna,74 837 12 91,i.bugaj@wp.pl,14,Ilona Bugaj,Powiat Dzierżoniowski,REJESTR_POW_31_12_2024.xls,2024-12-31
dolnoslaskie,dzierżoniowski,Powiatowe Centrum Opieki i Wychowania w Pieszycach Dom Dziecka Nr 3,socjalizacyjna,publiczna,Sienkiewicza 80 b,58-240,Piława Górna,74 837 12 91,i.bugaj@wp.pl,14,Ilona Bugaj,Powiat Dzierżoniowski,REJESTR_POW_31_12_2024.xls,2024-12-31
dolnoslaskie,dzierżoniowski,Powiatowe Centrum Opieki i Wychowania w Pieszycach Dom Dziecka Nr 4,interwencyjna,publiczna,Sienkiewicza 80 a,58-240,Piława Górna,74 837 28 08,i.bugaj@wp.pl,10,Ilona Bugaj,Powiat Dzierżoniowski,REJESTR_POW_31_12_2024.xls,2024-12-31
dolnoslaskie,dzierżoniowski,Powiatowe Centrum Opieki i Wychowania w Pieszycach Dom Dziecka Nr 5,socjalizacyjna,publiczna,Ogrodowa 81/2,58-250,Pieszyce,74 83 65 223,i.bugaj@wp.pl,14,Ilona Bugaj,Powiat Dzierżoniowski,REJESTR_POW_31_12_2024.xls,2024-12-31
dolnoslaskie,głogowski,Dom Dziecka w Głogowie ul. Folwarczna 53,socjalizacyjna,publiczna,Folwarczna 53,67-200,Głogów,76 877 23 24,dom.dziecka-folwarczna@wp.pl,14,Dorota Nowicka,Powiat Głogowski,REJESTR_POW_31_12_2024.xls,2024-12-31
dolnoslaskie,głogowski,"Dom Dziecka ""Pod Lipami"" im. Jana Kochanowskiego w Głogowie",socjalizacyjna,publiczna,Spadzista 3,67-200,Głogów,76 877 23 37,dom.dziecka-spadzista@wp.pl.,14,Dorota Nowicka,Powiat Głogowski,REJESTR_POW_31_12_2024.xls,2024-12-31
dolnoslaskie,głogowski,Dom Dziecka w Głogowie,socjalizacyjna,publiczna,Generała Stanisława Maczka 7,67-200,Głogów,76 837 37 71,dom.dziecka-maczek@wp.pl,14,Dorota Nowicka,Powiat Głogowski,REJESTR_POW_31_12_2024.xls,2024-12-31
dolnoslaskie,głogowski,Dom Dziecka w Głogowie ul. Folwarczna 51,socjalizacyjna,publiczna,Folwarczna 51,67-200,Głogów,76 853 25 72,dom.dziecka-orbitalna@wp.pl,14,Dorota Nowicka,Powiat Głogowski,REJESTR_POW_31_12_2024.xls,2024-12-31
dolnoslaskie,jaworski,Powiatowe Centrum Pomocy Rodzinie w Jaworze Dom Dziecka w im. Dr H. Jordana w Bolkowie,socjalizacyjna,publiczna,Mickiewicza 2,59-420,Bolków,75 741 21 13,kontakt@pcpr-jawor.pl,14,Izabela Aniołek,Powiat Jaworski,REJESTR_POW_31_12_2024.xls,2024-12-31
dolnoslaskie,jaworski,"Powiatowe Centrum Pomocy Rodzinie w Jaworze Placówka Opiekuńczo-Wychowawcza ""Jaworowy Start""",socjalizacyjna,publiczna,Piastowska 12/1,59-400,Jawor,76 870 24 77,kontakt@pcpr-jawor.pl,14,Izabela Aniołek,Powiat Jaworski,REJESTR_POW_31_12_2024.xls,2024-12-31
dolnoslaskie,jaworski,Placówka Opiekuńczo-Wychowawcza typu rodzinnego w Jaworze,rodzinna,niepubliczna,Piastowska 12/2,59-400,Jawor,76 870 24 77 wew.24,mmw7@op.pl,8,Michalina Firkowicz-Wojciechowska,Stowarzyszenie CENTRUM WSPARCIA,REJESTR_POW_31_12_2024.xls,2024-12-31
dolnoslaskie,Miasto Jelenia Góra,Placówka Opiekuńczo-Wychowawcza typu rodzinnego,rodzinna,niepubliczna,Nowe Rochowice 7,59-420,Bolków,76 766 71 10,pow.nowerochowice@o2.pl,8,Justyna Zieja,"Stowarzyszenie ""Dom Dzieciom""",REJESTR_POW_31_12_2024.xls,2024-12-31
dolnoslaskie,Miasto Jelenia Góra,Dom dla Dzieci NADZIEJA Nr 1 w Jeleniej Górze,socjalizacyjna,niepubliczna,"Sobieskiego 80/1,3",58-500,Jelenia Góra,757525238,domdzieckanadzieja@ gmail.com,14,Żaneta Babul,Karkonoskie Stowarzyszenie Pomocy Dziecku i Rodzinie NADZIEJA w Jeleniej Górze,REJESTR_POW_31_12_2024.xls,2024-12-31
dolnoslaskie,Miasto Jelenia Góra,Dom dla Dzieci NADZIEJA Nr 2 w Jeleniej Górze,socjalizacyjna,niepubliczna,"Sobieskiego 80/2,4",58-500,Jelenia Góra,757525238,domdzieckanadzieja@ gmail.com,14,Żaneta Babul,Karkonoskie Stowarzyszenie Pomocy Dziecku i Rodzinie NADZIEJA w Jeleniej Górze,REJESTR_POW_31_12_2024.xls,2024-12-31
dolnoslaskie,Miasto Jelenia Góra,Dom dla Dzieci NADZIEJA Nr 3 w Jeleniej Górze,socjalizacyjna,niepubliczna,"Kraszewskiego 6/1,3",58-500,Jelenia Góra,75 64 15 444,nadziejapo@interia.p,14,Marek Bartecki,Karkonoskie Stowarzyszenie Pomocy Dziecku i Rodzinie NADZIEJA w Jeleniej Górze,REJESTR_POW_31_12_2024.xls,2024-12-31
dolnoslaskie,Miasto Jelenia Góra,Dom dla Dzieci NADZIEJA Nr 4 w Jeleniej Górze,socjalizacyjna,niepubliczna,"Kraszewskiego 6/2,4",58-500,Jelenia Góra,75 64 15 444,nadziejapo@interia.pl,14,Marek Bartecki,Karkonoskie Stowarzyszenie Pomocy Dziecku i Rodzinie NADZIEJA w Jeleniej Górze,REJESTR_POW_31_12_2024.xls,2024-12-31
dolnoslaskie,Miasto Jelenia Góra,Dom dla Dzieci NADZIEJA Nr 5 w Jeleniej Górze,socjalizacyjna,niepubliczna,Marysieńki Sobieskiej 3,58-560,Jelenia Góra,690 888 729 Fax. 75 75 252 38,dd5nadzieja@gmail.com,14,Żaneta Babul,Karkonoskie Stowarzyszenie Pomocy Dziecku i Rodzinie NADZIEJA w Jeleniej Górze,REJESTR_POW_31_12_2024.xls,2024-12-31
dolnoslaskie,Miasto Jelenia Góra,Placówka Opiekuńczo-Wychowawcza „Dąbrówka 1”,socjalizacyjna,publiczna,Podgórzyńska 6/1,58-560,Jelenia Góra,075 755 14 02,dabrowka@dabrowka.jgora.pl,14,Katarzyna Lenart - Wyrobek,Miasto Jelenia Góra,REJESTR_POW_31_12_2024.xls,2024-12-31
dolnoslaskie,Miasto Jelenia Góra,Placówka Opiekuńczo-Wychowawcza „Dąbrówka 2”,socjalizacyjna,publiczna,Podgórzyńska 6/3,58-560,Jelenia Góra,075 755 14 02,dabrowka@dabrowka.jgora.pl,14,Katarzyna Lenart - Wyrobek,Miasto Jelenia Góra,REJESTR_POW_31_12_2024.xls,2024-12-31
dolnoslaskie,Miasto Jelenia Góra,Placówka Opiekuńczo-Wychowawcza „Dąbrówka 3”,socjalizacyjna,publiczna,Podgórzyńska 6/4,58-560,Jelenia Góra,075 755 14 02,dabrowka@dabrowka.jgora.pl,14,Katarzyna Lenart - Wyrobek,Miasto Jelenia Góra,REJESTR_POW_31_12_2024.xls,2024-12-31
dolnoslaskie,karkonoski,Dom dla Dzieci NADZIEJA,socjalizacyjna,niepubliczna,Karkonoska 26,58-570,Jelenia Góra,511 438 667 757 525 238,domdzieckanadzieja@gmail.com,14,Violetta Marczyk,Karkonoskie Stowarzyszenie Pomocy Dziecku i Rodzinie NADZIEJA w Jeleniej Górze,REJESTR_POW_31_12_2024.xls,2024-12-31
dolnoslaskie,karkonoski,"Placówka Opiekuńczo - Wychowawcza ""Płomyk"" w Szklarskiej Porębie",socjalizacyjna,publiczna,Bronka Czecha 22/2,58-580,Szklarska Poręba,757172106,sekretariat@domdziecka.eu,14,Mariusz Owczarek,Powiat Jeleniogórski,REJESTR_POW_31_12_2024.xls,2024-12-31
dolnoslaskie,karkonoski,"Placówka Opiekuńczo - Wychowawcza ""Iskierka"" w Szklarskiej Porębie",socjalizacyjna,publiczna,Bronka Czecha 22/1,58-580,Szklarska Poręba,757172106,sekretariat@domdziecka.eu,14,Mariusz Owczarek,Powiat Jeleniogórski,REJESTR_POW_31_12_2024.xls,2024-12-31
dolnoslaskie,kamiennogórski,Placówka Opiekuńczo – Wychowawcza „Smyk”,socjalizacyjna,niepubliczna,Błażejów 151,58-420,Błażejów,669505052,rokfordzik@vp.pl,14,Witold Stępniak,Dolnośląska Fundacja Pomocy Dzieciom „Rokfordzik”,REJESTR_POW_31_12_2024.xls,2024-12-31
dolnoslaskie,kłodzki,Placówka Opiekuńczo - Wychowawcza Nr 1 w Domaszkowie,socjalizacyjna,publiczna,Międzyleska 15,57-522,Domaszków,74 813 20 25,m.cebulak@post.pl,14,Monika Bielska,Powiat Kłodzki,REJESTR_POW_31_12_2024.xls,2024-12-31
dolnoslaskie,kłodzki,Placówka Opiekuńczo - Wychowawcza Nr 2 w Domaszkowie,socjalizacyjna,publiczna,Międzyleska 15A,57-522,Domaszków,74 813 20 25,m.cebulak@post.pl,14,Monika Bielska,Powiat Kłodzki,REJESTR_POW_31_12_2024.xls,2024-12-31
dolnoslaskie,kłodzki,Placówka Opiekuńczo - Wychowawcza nr 1,socjalizacyjna,publiczna,Korczaka 1a,57-300,Kłodzko,74 867 35 93,dd-kl@post.pl,14,Monika Kotuła,Powiat Kłodzki,REJESTR_POW_31_12_2024.xls,2024-12-31
dolnoslaskie,kłodzki,Placówka Opiekuńczo - Wychowawcza nr 2,socjalizacyjna,publiczna,Korczaka 1b,57-300,Kłodzko,74 867 35 93,dd-kl@post.pl,6,Monika Kotuła,Powiat Kłodzki,REJESTR_POW_31_12_2024.xls,2024-12-31
dolnoslaskie,kłodzki,Placówka Opiekuńczo - Wychowawcza nr 3,socjalizacyjna,publiczna,Korczaka 1,57-300,Kłodzko,74 867 35 93,dd-kl@post.pl,14,Monika Kotuła,Powiat Kłodzki,REJESTR_POW_31_12_2024.xls,2024-12-31
dolnoslaskie,kłodzki,Placówka Opiekuńczo - Wychowawcza nr 4,socjalizacyjna,publiczna,Korczaka 1c,57-300,Kłodzko,74 867 35 93,dd-kl@post.pl,14,Monika Kotuła,Powiat Kłodzki,REJESTR_POW_31_12_2024.xls,2024-12-31
dolnoslaskie,kłodzki,"Zespół Placówek Opiekuńczo- Wychowawczych typu socjalizacyjnego Placówka Opiekuńczo- Wychowawcza nr 1 ""Sasanka""",socjalizacyjna,niepubliczna,Wandy 6,57-300,Kłodzko,74 867 23 36,ddkl-wandy@post.pl,14,Kornelia Szmidt,Zgromadzenie Sióstr Służebniczek Najświętszej Maryi Panny Niepokalanie Poczętej,REJESTR_POW_31_12_2024.xls,2024-12-31
